Facets,Facets_Clean,Category,Score_Min,Score_Max,Description
Risktaking,Risktaking,Risk,1,5,Measures the degree of 'Risktaking' expressed in the conversation
Naivety,Naivety,General,1,5,Measures the degree of 'Naivety' expressed in the conversation
Acidity,Acidity,General,1,5,Measures the degree of 'Acidity' expressed in the conversation
Democratic Leadership:,Democratic Leadership:,Leadership,1,5,Measures the degree of 'Democratic Leadership:' expressed in the conversation
Common-sense,Common-sense,Cognitive,1,5,Measures the degree of 'Common-sense' expressed in the conversation
Hesitation,Hesitation,General,1,5,Measures the degree of 'Hesitation' expressed in the conversation
Discontentment,Discontentment,General,1,5,Measures the degree of 'Discontentment' expressed in the conversation
Overprotectiveness,Overprotectiveness,General,1,5,Measures the degree of 'Overprotectiveness' expressed in the conversation
Merriness,Merriness,General,1,5,Measures the degree of 'Merriness' expressed in the conversation
Emotionalism,Emotionalism,Emotional,1,5,Measures the degree of 'Emotionalism' expressed in the conversation
Self-improvement,Self-improvement,General,1,5,Measures the degree of 'Self-improvement' expressed in the conversation
Statistical Reasoning,Statistical Reasoning,Cognitive,1,5,Measures the degree of 'Statistical Reasoning' expressed in the conversation
Assertiveness and control in relationships,Assertiveness and control in relationships,Leadership,1,5,Measures the degree of 'Assertiveness and control in relationships' expressed in the conversation
Cunningness,Cunningness,General,1,5,Measures the degree of 'Cunningness' expressed in the conversation
Adventure-Seeking Behavior,Adventure-Seeking Behavior,Risk,1,5,Measures the degree of 'Adventure-Seeking Behavior' expressed in the conversation
Compassion Fatigue,Compassion Fatigue,Social,1,5,Measures the degree of 'Compassion Fatigue' expressed in the conversation
Moroseness,Moroseness,General,1,5,Measures the degree of 'Moroseness' expressed in the conversation
Specialist,Specialist,General,1,5,Measures the degree of 'Specialist' expressed in the conversation
Aloofness,Aloofness,General,1,5,Measures the degree of 'Aloofness' expressed in the conversation
Genuine,Genuine,General,1,5,Measures the degree of 'Genuine' expressed in the conversation
Determinedness,Determinedness,General,1,5,Measures the degree of 'Determinedness' expressed in the conversation
HonestyHumility:,HonestyHumility:,Moral,1,5,Measures the degree of 'HonestyHumility:' expressed in the conversation
Relationship Building Themes:,Relationship Building Themes:,Social,1,5,Measures the degree of 'Relationship Building Themes:' expressed in the conversation
Pure Challenge,Pure Challenge,General,1,5,Measures the degree of 'Pure Challenge' expressed in the conversation
Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents:,Cognitive,1,5,Measures the degree of 'Numerical Reasoning Subcomponents:' expressed in the conversation
Openness,Openness,General,1,5,Measures the degree of 'Openness' expressed in the conversation
SelfEsteem,SelfEsteem,General,1,5,Measures the degree of 'SelfEsteem' expressed in the conversation
Comparing alphanumeric data,Comparing alphanumeric data,General,1,5,Measures the degree of 'Comparing alphanumeric data' expressed in the conversation
Big-heartedness,Big-heartedness,General,1,5,Measures the degree of 'Big-heartedness' expressed in the conversation
Compulsive activities,Compulsive activities,General,1,5,Measures the degree of 'Compulsive activities' expressed in the conversation
Disrespect,Disrespect,General,1,5,Measures the degree of 'Disrespect' expressed in the conversation
FSH level,FSH level,General,1,5,Measures the degree of 'FSH level' expressed in the conversation
Self Perspective,Self Perspective,General,1,5,Measures the degree of 'Self Perspective' expressed in the conversation
Desperation,Desperation,General,1,5,Measures the degree of 'Desperation' expressed in the conversation
Affiliation Motivation:,Affiliation Motivation:,General,1,5,Measures the degree of 'Affiliation Motivation:' expressed in the conversation
Anatomy knowledge,Anatomy knowledge,General,1,5,Measures the degree of 'Anatomy knowledge' expressed in the conversation
Passive-Aggressive,Passive-Aggressive,General,1,5,Measures the degree of 'Passive-Aggressive' expressed in the conversation
Presence of Spiritual Pain,Presence of Spiritual Pain,Spiritual,1,5,Measures the degree of 'Presence of Spiritual Pain' expressed in the conversation
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,Spiritual,1,5,Measures the degree of 'Role of Spirituality in Community Involvement' expressed in the conversation
Structure,Structure,General,1,5,Measures the degree of 'Structure' expressed in the conversation
Eco-tourism trips,Eco-tourism trips,General,1,5,Measures the degree of 'Eco-tourism trips' expressed in the conversation
Chivalrousness,Chivalrousness,General,1,5,Measures the degree of 'Chivalrousness' expressed in the conversation
Pilgrimage participation count,Pilgrimage participation count,General,1,5,Measures the degree of 'Pilgrimage participation count' expressed in the conversation
Mindfulness facet: Observing,Mindfulness facet: Observing,General,1,5,Measures the degree of 'Mindfulness facet: Observing' expressed in the conversation
Submissiveness,Submissiveness,General,1,5,Measures the degree of 'Submissiveness' expressed in the conversation
Training-cycle length,Training-cycle length,General,1,5,Measures the degree of 'Training-cycle length' expressed in the conversation
Sensitiveness,Sensitiveness,General,1,5,Measures the degree of 'Sensitiveness' expressed in the conversation
Negative Affect Frequency,Negative Affect Frequency,General,1,5,Measures the degree of 'Negative Affect Frequency' expressed in the conversation
Innovation and Creativity Components:,Innovation and Creativity Components:,General,1,5,Measures the degree of 'Innovation and Creativity Components:' expressed in the conversation
Achievement Motivation:,Achievement Motivation:,General,1,5,Measures the degree of 'Achievement Motivation:' expressed in the conversation
Feedback-giving frequency,Feedback-giving frequency,General,1,5,Measures the degree of 'Feedback-giving frequency' expressed in the conversation
Dance-cardio sessions,Dance-cardio sessions,General,1,5,Measures the degree of 'Dance-cardio sessions' expressed in the conversation
Enthusiasm,Enthusiasm,General,1,5,Measures the degree of 'Enthusiasm' expressed in the conversation
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,Cognitive,1,5,Measures the degree of 'Psychological construct: Social Desirability tendency' expressed in the conversation
Inattentiveness,Inattentiveness,General,1,5,Measures the degree of 'Inattentiveness' expressed in the conversation
Unassertiveness,Unassertiveness,Leadership,1,5,Measures the degree of 'Unassertiveness' expressed in the conversation
Decision-making decisiveness,Decision-making decisiveness,General,1,5,Measures the degree of 'Decision-making decisiveness' expressed in the conversation
